,date,CNY,JPY,EUR,GBP,INR,BRL,CAD,KRW
8,1949-01-03,,,,,,,,
9,1949-01-04,,,,,,,,
10,1949-01-05,,,,,,,,
11,1949-01-06,,,,,,,,
12,1949-01-07,,,,,,,,
13,1949-01-08,,,,,,,,
14,1949-01-09,,,,,,,,
15,1949-01-10,,,,,,,,
16,1949-01-11,,,,,,,,
17,1949-01-12,,,,,,,,
18,1949-01-13,,,,,,,,
19,1949-01-14,,,,,,,,
20,1949-01-15,,,,,,,,
21,1949-01-16,,,,,,,,
22,1949-01-17,,,,,,,,
23,1949-01-18,,,,,,,,
24,1949-01-19,,,,,,,,
25,1949-01-20,,,,,,,,
26,1949-01-21,,,,,,,,
27,1949-01-22,,,,,,,,
28,1949-01-23,,,,,,,,
29,1949-01-24,,,,,,,,
30,1949-01-25,,,,,,,,
31,1949-01-26,,,,,,,,
32,1949-01-27,,,,,,,,
33,1949-01-28,,,,,,,,
34,1949-01-29,,,,,,,,
35,1949-01-30,,,,,,,,
36,1949-01-31,,,,,,,,
37,1949-02-01,,,,,,,,
38,1949-02-02,,,,,,,,
39,1949-02-03,,,,,,,,
40,1949-02-04,,,,,,,,
41,1949-02-05,,,,,,,,
42,1949-02-06,,,,,,,,
43,1949-02-07,,,,,,,,
44,1949-02-08,,,,,,,,
45,1949-02-09,,,,,,,,
46,1949-02-10,,,,,,,,
47,1949-02-11,,,,,,,,
48,1949-02-12,,,,,,,,
49,1949-02-13,,,,,,,,
50,1949-02-14,,,,,,,,
51,1949-02-15,,,,,,,,
52,1949-02-16,,,,,,,,
53,1949-02-17,,,,,,,,
54,1949-02-18,,,,,,,,
55,1949-02-19,,,,,,,,
56,1949-02-20,,,,,,,,
57,1949-02-21,,,,,,,,
58,1949-02-22,,,,,,,,
59,1949-02-23,,,,,,,,
60,1949-02-24,,,,,,,,
61,1949-02-25,,,,,,,,
62,1949-02-26,,,,,,,,
63,1949-02-27,,,,,,,,
64,1949-02-28,,,,,,,,
65,1949-03-01,,,,,,,,
66,1949-03-02,,,,,,,,
67,1949-03-03,,,,,,,,
68,1949-03-04,,,,,,,,
69,1949-03-05,,,,,,,,
70,1949-03-06,,,,,,,,
71,1949-03-07,,,,,,,,
72,1949-03-08,,,,,,,,
73,1949-03-09,,,,,,,,
74,1949-03-10,,,,,,,,
75,1949-03-11,,,,,,,,
76,1949-03-12,,,,,,,,
77,1949-03-13,,,,,,,,
78,1949-03-14,,,,,,,,
79,1949-03-15,,,,,,,,
80,1949-03-16,,,,,,,,
81,1949-03-17,,,,,,,,
82,1949-03-18,,,,,,,,
83,1949-03-19,,,,,,,,
