Timestamp,n-transactions-excluding-popular
2019-04-21 00:00:00,371282
2019-04-22 00:00:00,317336
2019-04-23 00:00:00,291069
2019-04-24 00:00:00,378102
2019-04-25 00:00:00,361357
2019-04-26 00:00:00,359412
2019-04-27 00:00:00,345582
2019-04-28 00:00:00,367895
2019-04-29 00:00:00,337831
2019-04-30 00:00:00,327176
2019-05-01 00:00:00,424144
2019-05-02 00:00:00,437027
2019-05-03 00:00:00,365602
2019-05-04 00:00:00,342804
2019-05-05 00:00:00,313472
2019-05-06 00:00:00,357516
2019-05-07 00:00:00,304861
2019-05-08 00:00:00,364493
2019-05-09 00:00:00,334788
2019-05-10 00:00:00,299922
2019-05-11 00:00:00,327332
2019-05-12 00:00:00,320382
2019-05-13 00:00:00,371452
2019-05-14 00:00:00,346768
2019-05-15 00:00:00,340759
2019-05-16 00:00:00,338392
2019-05-17 00:00:00,334006
2019-05-18 00:00:00,333561
2019-05-19 00:00:00,317028
2019-05-20 00:00:00,345233
2019-05-21 00:00:00,339659
2019-05-22 00:00:00,348691
2019-05-23 00:00:00,354623
2019-05-24 00:00:00,336438
2019-05-25 00:00:00,305274
2019-05-26 00:00:00,344851
2019-05-27 00:00:00,358015
2019-05-28 00:00:00,354108
2019-05-29 00:00:00,368011
2019-05-30 00:00:00,340085
2019-05-31 00:00:00,273596
2019-06-01 00:00:00,305219
2019-06-02 00:00:00,278267
2019-06-03 00:00:00,260404
2019-06-04 00:00:00,344001
2019-06-05 00:00:00,345664
2019-06-06 00:00:00,339083
2019-06-07 00:00:00,328644
2019-06-08 00:00:00,276743
2019-06-09 00:00:00,284379
2019-06-10 00:00:00,327393
2019-06-11 00:00:00,312709
2019-06-12 00:00:00,300546
2019-06-13 00:00:00,335458
2019-06-14 00:00:00,335769
2019-06-15 00:00:00,307119
2019-06-16 00:00:00,273369
2019-06-17 00:00:00,292724
2019-06-18 00:00:00,365530
2019-06-19 00:00:00,373142
2019-06-20 00:00:00,304330
2019-06-21 00:00:00,309504
2019-06-22 00:00:00,325468
2019-06-23 00:00:00,356814
2019-06-24 00:00:00,360906
2019-06-25 00:00:00,331669
2019-06-26 00:00:00,366825
2019-06-27 00:00:00,323823
2019-06-28 00:00:00,378424
2019-06-29 00:00:00,335750
2019-06-30 00:00:00,309729
2019-07-01 00:00:00,311174
2019-07-02 00:00:00,349125
2019-07-03 00:00:00,373266
2019-07-04 00:00:00,349976
2019-07-05 00:00:00,358206
2019-07-06 00:00:00,334425
2019-07-07 00:00:00,299735
2019-07-08 00:00:00,361202
2019-07-09 00:00:00,349466
2019-07-10 00:00:00,297907
2019-07-11 00:00:00,304777
2019-07-12 00:00:00,338788
2019-07-13 00:00:00,287081
2019-07-14 00:00:00,286027
2019-07-15 00:00:00,328215
2019-07-16 00:00:00,340398
2019-07-17 00:00:00,303431
2019-07-18 00:00:00,286750
2019-07-19 00:00:00,279482
2019-07-20 00:00:00,306431
2019-07-21 00:00:00,270566
2019-07-22 00:00:00,304660
2019-07-23 00:00:00,306607
2019-07-24 00:00:00,281997
2019-07-25 00:00:00,320594
2019-07-26 00:00:00,305377
2019-07-27 00:00:00,272915
2019-07-28 00:00:00,262722
2019-07-29 00:00:00,319718
2019-07-30 00:00:00,311310
2019-07-31 00:00:00,345649
2019-08-01 00:00:00,322602
2019-08-02 00:00:00,336906
2019-08-03 00:00:00,317130
2019-08-04 00:00:00,288199
2019-08-05 00:00:00,324788
2019-08-06 00:00:00,351534
2019-08-07 00:00:00,297718
2019-08-08 00:00:00,315560
2019-08-09 00:00:00,327659
2019-08-10 00:00:00,292831
2019-08-11 00:00:00,263216
2019-08-12 00:00:00,257754
2019-08-13 00:00:00,314018
2019-08-14 00:00:00,343385
2019-08-15 00:00:00,337594
2019-08-16 00:00:00,307384
2019-08-17 00:00:00,272513
2019-08-18 00:00:00,262209
2019-08-19 00:00:00,311978
2019-08-20 00:00:00,316466
2019-08-21 00:00:00,292684
2019-08-22 00:00:00,307053
2019-08-23 00:00:00,325088
2019-08-24 00:00:00,290987
2019-08-25 00:00:00,276626
2019-08-26 00:00:00,302201
2019-08-27 00:00:00,309867
2019-08-28 00:00:00,325736
2019-08-29 00:00:00,331113
2019-08-30 00:00:00,328657
2019-08-31 00:00:00,322491
2019-09-01 00:00:00,266109
2019-09-02 00:00:00,311144
2019-09-03 00:00:00,353772
