,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_volume,Taker_buy_quote_asset_volume,Ignore
0,2019-01-01 00:00:00+00:00,131.45000000,140.67000000,130.00000000,139.10000000,401776.88797000,2019-01-01 23:59:59.999000+00:00,54280385.59812700,125799,204877.27101000,27658986.54878910,0
1,2019-01-02 00:00:00+00:00,139.10000000,155.37000000,137.76000000,152.01000000,941486.31524000,2019-01-02 23:59:59.999000+00:00,138801471.11865180,253070,452778.41302000,66826091.41549060,0
2,2019-01-03 00:00:00+00:00,152.01000000,153.64000000,143.11000000,146.30000000,708091.31714000,2019-01-03 23:59:59.999000+00:00,104953535.14851260,206600,345065.32126000,51146898.61903880,0
3,2019-01-04 00:00:00+00:00,146.30000000,154.80000000,143.54000000,151.97000000,805248.93821000,2019-01-04 23:59:59.999000+00:00,120827141.54422790,224385,398803.89556000,59878325.52782510,0
4,2019-01-05 00:00:00+00:00,152.08000000,159.26000000,151.20000000,152.83000000,773169.13736000,2019-01-05 23:59:59.999000+00:00,120238339.78221870,231172,383106.49462000,59615248.34487270,0
5,2019-01-06 00:00:00+00:00,152.83000000,157.40000000,147.51000000,153.86000000,627908.47366000,2019-01-06 23:59:59.999000+00:00,95681339.46006480,204337,318359.86940000,48525641.33377210,0
6,2019-01-07 00:00:00+00:00,153.89000000,155.48000000,147.86000000,149.34000000,424765.30258000,2019-01-07 23:59:59.999000+00:00,64310962.91903280,157568,205545.31494000,31132597.05806870,0
7,2019-01-08 00:00:00+00:00,149.29000000,151.65000000,145.20000000,147.60000000,441661.06778000,2019-01-08 23:59:59.999000+00:00,65535529.75573930,170585,220205.81560000,32665110.28139710,0
8,2019-01-09 00:00:00+00:00,147.62000000,151.50000000,146.77000000,148.10000000,299443.56300000,2019-01-09 23:59:59.999000+00:00,44673066.39158200,125358,154466.46066000,23055106.06692050,0
9,2019-01-10 00:00:00+00:00,148.11000000,149.45000000,121.00000000,124.95000000,871751.75038000,2019-01-10 23:59:59.999000+00:00,114437025.28272770,290765,432162.78581000,56667564.77790820,0
10,2019-01-11 00:00:00+00:00,124.96000000,127.36000000,120.08000000,124.65000000,545293.98369000,2019-01-11 23:59:59.999000+00:00,67782816.33759870,197047,286390.42731000,35610799.28045170,0
11,2019-01-12 00:00:00+00:00,124.67000000,126.19000000,122.00000000,123.35000000,300262.13404000,2019-01-12 23:59:59.999000+00:00,37295866.35383430,122024,159060.66029000,19774152.74628190,0
12,2019-01-13 00:00:00+00:00,123.35000000,124.25000000,111.87000000,114.16000000,422561.96777000,2019-01-13 23:59:59.999000+00:00,49521201.27646620,137005,228755.00345000,26767549.31999140,0
13,2019-01-14 00:00:00+00:00,114.17000000,130.05000000,113.94000000,126.95000000,546420.40854000,2019-01-14 23:59:59.999000+00:00,66801543.30503660,181074,283172.06565000,34555073.94814970,0
14,2019-01-15 00:00:00+00:00,126.95000000,129.40000000,116.00000000,118.95000000,649020.52970000,2019-01-15 23:59:59.999000+00:00,79985529.55877080,200989,323384.20597000,39784995.57368180,0
15,2019-01-16 00:00:00+00:00,118.93000000,126.88000000,118.52000000,121.48000000,513486.65472000,2019-01-16 23:59:59.999000+00:00,62314225.99604320,192912,260457.57444000,31607466.00933590,0
16,2019-01-17 00:00:00+00:00,121.49000000,122.99000000,116.80000000,121.54000000,447535.22716000,2019-01-17 23:59:59.999000+00:00,53854069.21051170,169098,231192.40300000,27839121.14739830,0
17,2019-01-18 00:00:00+00:00,121.56000000,121.98000000,117.66000000,119.17000000,235646.68400000,2019-01-18 23:59:59.999000+00:00,28305971.66888540,112833,118574.39197000,14246528.48255570,0
18,2019-01-19 00:00:00+00:00,119.16000000,125.29000000,119.14000000,122.60000000,323303.79296000,2019-01-19 23:59:59.999000+00:00,39715159.16496060,117187,159926.95718000,19624976.27846360,0
19,2019-01-20 00:00:00+00:00,122.61000000,123.32000000,115.68000000,117.47000000,451792.85352000,2019-01-20 23:59:59.999000+00:00,53833668.90663490,164941,222998.00633000,26556584.79285950,0
20,2019-01-21 00:00:00+00:00,117.56000000,118.50000000,113.61000000,115.63000000,303632.93463000,2019-01-21 23:59:59.999000+00:00,35258073.42826490,119538,151719.15903000,17621439.74315460,0
21,2019-01-22 00:00:00+00:00,115.62000000,119.49000000,111.39000000,117.81000000,359542.63873000,2019-01-22 23:59:59.999000+00:00,41777737.47047050,134797,191477.42643000,22269617.06857210,0
22,2019-01-23 00:00:00+00:00,117.80000000,118.95000000,114.80000000,116.44000000,230247.61578000,2019-01-23 23:59:59.999000+00:00,26975386.39245840,102993,116161.13221000,13613289.98244520,0
23,2019-01-24 00:00:00+00:00,116.40000000,117.15000000,113.61000000,116.39000000,216242.29829000,2019-01-24 23:59:59.999000+00:00,25044265.75420410,90622,109084.23085000,12638375.44066350,0
24,2019-01-25 00:00:00+00:00,116.40000000,117.50000000,114.30000000,115.11000000,198617.08108000,2019-01-25 23:59:59.999000+00:00,22977175.95411930,85660,98562.49082000,11406338.57731850,0
25,2019-01-26 00:00:00+00:00,115.13000000,118.00000000,115.00000000,115.34000000,146216.82819000,2019-01-26 23:59:59.999000+00:00,16978386.19723770,68368,75224.68609000,8737349.04319970,0
26,2019-01-27 00:00:00+00:00,115.32000000,116.15000000,111.04000000,112.05000000,247369.60555000,2019-01-27 23:59:59.999000+00:00,28158012.73047680,97152,118671.53907000,13516227.60938870,0
27,2019-01-28 00:00:00+00:00,112.04000000,112.87000000,100.91000000,105.50000000,566205.78288000,2019-01-28 23:59:59.999000+00:00,60050129.38635790,177547,280135.35398000,29726784.98094350,0
28,2019-01-29 00:00:00+00:00,105.49000000,106.61000000,102.22000000,104.45000000,319768.91348000,2019-01-29 23:59:59.999000+00:00,33427469.34506180,129221,161610.46234000,16896798.30635950,0
29,2019-01-30 00:00:00+00:00,104.41000000,109.80000000,103.45000000,108.29000000,330968.19265000,2019-01-30 23:59:59.999000+00:00,35368520.13557100,118866,168310.35250000,17980658.80616860,0
30,2019-01-31 00:00:00+00:00,108.29000000,110.61000000,105.46000000,106.44000000,290679.61935000,2019-01-31 23:59:59.999000+00:00,31234353.51539300,102532,146487.22950000,15737903.30964070,0
31,2019-02-01 00:00:00+00:00,106.47000000,108.35000000,103.77000000,106.73000000,243149.88435000,2019-02-01 23:59:59.999000+00:00,25791535.14602380,86314,120649.43802000,12804365.58085350,0
32,2019-02-02 00:00:00+00:00,106.71000000,111.15000000,106.07000000,110.42000000,186908.75730000,2019-02-02 23:59:59.999000+00:00,20153872.30291900,67351,100348.93660000,10827638.07130800,0
33,2019-02-03 00:00:00+00:00,110.41000000,111.11000000,105.82000000,107.36000000,227211.54064000,2019-02-03 23:59:59.999000+00:00,24605892.28872830,78309,104902.65217000,11357020.01986990,0
34,2019-02-04 00:00:00+00:00,107.33000000,109.30000000,106.57000000,107.68000000,160850.10293000,2019-02-04 23:59:59.999000+00:00,17312736.60015020,65698,83257.70317000,8963437.58940170,0
35,2019-02-05 00:00:00+00:00,107.65000000,108.18000000,106.47000000,107.27000000,159730.18860000,2019-02-05 23:59:59.999000+00:00,17137008.24783950,68422,82850.20631000,8888920.04602780,0
