,ind_upperband,ind_middleband,ind_lowerband,ind_dema,ind_ema,ind_ht_trendline,ind_kama,ind_ma,ind_mama,ind_mama,ind_mavp,ind_midpoin,ind_midprice,ind_sar,ind_sarext,ind_sma,ind_t3,ind_tema,ind_trima,ind_wma,ind_adx,ind_adxr,ind_apo,ind_aroondown,ind_aroonup,ind_aroonosc,ind_bop,ind_cci,ind_cmo,ind_dx,ind_macd,ind_macdsignal,ind_macdhist,ind_macdext,ind_macdsignalext,ind_macdhistext,ind_macdfix,ind_macdsignalfix,ind_macdhistfix,ind_mfi,ind_minus_di,ind_minus_dm,ind_mom,ind_plus_di,ind_plus_dm,ind_ppo,ind_roc,ind_rocp,ind_rocr,ind_rocr100,ind_rsi,ind_slowk,ind_slowd,ind_fastk,ind_fastd,ind_fastkrsi,ind_fastdrsi,ind_trix,ind_ultosc,ind_willr,ind_ad,ind_adosc,ind_obv,ind_atr,ind_natr,ind_trange,ind_average,ind_medprice,ind_typprice,ind_wclprice,ind_ht_dcperiod,ind_ht_dcphase,ind_inphase,ind_quadrature,ind_sine,ind_leadsine,ind_integer,ind_CDL2CROWS,ind_CDL3BLACKCROWS,ind_CDL3INSIDE,ind_CDL3LINESTRIKE,ind_CDL3OUTSIDE,ind_CDL3STARSINSOUTH,ind_CDL3WHITESOLDIERS,ind_CDLABANDONEDBABY,ind_CDLADVANCEBLOCK,ind_CDLBELTHOLD,ind_CDLBREAKAWAY,ind_CDLCLOSINGMARUBOZU,ind_CDLCONCEALBABYSWALL,ind_CDLCOUNTERATTACK,ind_CDLDARKCLOUDCOVER,ind_CDLDOJI,ind_CDLDOJISTAR,ind_CDLDRAGONFLYDOJI,ind_CDLENGULFING,ind_CDLEVENINGDOJISTAR,ind_CDLEVENINGSTAR,ind_CDLGAPSIDESIDEWHITE,ind_CDLGRAVESTONEDOJI,ind_CDLHAMMER,ind_CDLHANGINGMAN,ind_CDLHARAMI,ind_CDLHARAMICROSS,ind_CDLHARAMICROSS,ind_CDLHIKKAKE,ind_CDLHIKKAKEMOD,ind_CDLHOMINGPIGEON,ind_CDLIDENTICAL3CROWS,ind_CDLINNECK,ind_CDLINVERTEDHAMMER,ind_CDLKICKING,ind_CDLKICKINGBYLENGTH,ind_CDLLADDERBOTTOM,ind_CDLLONGLEGGEDDOJI,ind_CDLLONGLINE,ind_CDLMARUBOZU,ind_CDLMATCHINGLOW,ind_CDLMATHOLD,ind_CDLMORNINGDOJISTAR,ind_CDLMORNINGSTAR,ind_CDLONNECK,ind_CDLPIERCING,ind_CDLRICKSHAWMAN,ind_CDLRISEFALL3METHODS,ind_CDLSEPARATINGLINES,ind_CDLSHOOTINGSTAR,ind_CDLSHORTLINE,ind_CDLSPINNINGTOP,ind_CDLSTALLEDPATTERN,ind_CDLSTICKSANDWICH,ind_CDLTAKURI,ind_CDLTASUKIGAP,ind_CDLTHRUSTING,ind_CDLTRISTAR,ind_CDLUNIQUE3RIVER,ind_CDLUPSIDEGAP2CROWS,ind_CDLXSIDEGAP3METHODS,ind_beta,ind_correl,ind_linearreg,ind_linearreg_angle,ind_linearreg_intercept,ind_linearreg_slope,ind_stddev,ind_tsf,ind_var,ind_ACOS,ind_ASIN,ind_ATAN,ind_CEIL,ind_COS,ind_FLOOR,ind_LN,ind_LOG10,ind_SIN,ind_SQRT,ind_TAN,ind_TANH,ind_ADD,ind_DIV,ind_MAX,ind_MAXINDEX,ind_MIN,ind_MININDEX,ind_min,ind_max,ind_minidx,ind_maxidx,ind_MULT,ind_SUB,ind_SUM,date
0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7169634489222132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283540.76536214654,,401776.88797,,,,135.305,135.33499999999998,136.59,137.21749999999997,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5636073780318063,140.0,0.6448852136633805,139.0,4.935193098929397,2.143327129992046,0.7642794392094662,11.794066304714418,1.185140274604602,1.0,270.66999999999996,1.082076923076923,,0,,0,,,0,0,18287.1,10.669999999999987,270.66999999999996,2019-01-01
1,,,,,,,,,,,,,,130.0,130.0,,,,,,,,,,,,0.7331061896649623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865754.6195906291,,1343263.20321,,,17.610000000000014,146.06,146.565,148.38,149.2875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.564217907120161,153.0,0.3496932851415355,152.0,5.023946308155928,2.1818721590103336,0.9368642411400494,12.32923355282071,2.679102747886226,1.0,293.13,1.1278310104529619,,0,,0,,,0,0,21403.7712,17.610000000000014,293.13,2019-01-02
2,,,,,,,,,,,,,,130.0,130.0,,,,,,,,,,,,-0.5422602089268751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586687.291373061,,635171.8860699999,,,10.529999999999973,148.765,148.375,147.68333333333334,147.3375,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5639611632487727,147.0,-0.21426726244669092,146.0,4.9856593080260785,2.1652443261253107,0.9767750714691693,12.095453691366853,-4.558676208000689,1.0,296.75,1.0735797638180418,,0,,0,,,0,0,21987.4204,10.529999999999973,296.75,2019-01-03
3,,,,,,,,,,,,,,130.0,130.0,,,,,,,,,,,,0.5035523978685593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987166.3370192412,,1440420.8242799998,,,11.26000000000002,149.15250000000003,149.17000000000002,150.10333333333335,150.57,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5642161756653181,152.0,0.3868781450384996,151.0,5.023683132945513,2.1817578634686767,0.9221308480316498,12.327611285240948,2.3835175490202096,1.0,298.34000000000003,1.0784450327434862,,0,,0,,,0,0,22219.992000000002,11.26000000000002,298.34000000000003,2019-01-04
4,,,,,,,,,,,,,,130.0,130.0,,,,,,,,,,,,0.09305210918114142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526718.215514531,,2213589.96164,,,8.060000000000002,153.8425,155.23,154.42999999999998,154.03,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5642532022177007,153.0,-0.44641620776018937,152.0,5.029326192539745,2.184208613111503,0.8948254407698808,12.362443124237215,-2.0044645002015087,1.0,310.46,1.0533068783068784,,0,,0,,,0,0,24080.111999999997,8.060000000000002,310.46,2019-01-05
5,,,,,,,,,,,,,,130.0,130.0,,,,,,,,,,,,0.10414560161779571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705122.9486777885,,2841498.4353,,,9.890000000000015,152.9,152.45499999999998,152.92333333333332,153.1575,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5642970032568868,154.0,-0.9969564223272337,153.0,5.036043098030789,2.1871257281017287,0.07796083619666018,12.404031602668546,-0.07819884044146404,1.0,304.90999999999997,1.0670463019456309,,0,,0,,,0,0,23218.074,9.890000000000015,304.90999999999997,2019-01-06
6,158.92865905034134,149.34428571428572,139.7599123782301,,149.34428571428572,,,149.34428571428572,,,151.60000000000002,146.48000000000002,,130.0,130.0,149.34428571428572,,,150.34062500000002,150.80678571428572,,,,,,,-0.5971128608923881,37.679573611944804,,,,,,,,,,,,,,3.6899999999999977,,,20.32000000000002,,,,,,,,,38.57585139318884,63.82805976513233,,,,,-33.90293916609703,445358.3410632472,,2416733.13272,,,7.619999999999976,151.6425,151.67000000000002,150.89333333333335,150.505,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8889311286224972,153.73178571428573,55.63721450929021,144.9567857142857,1.4625000000000075,4.792186668027806,155.19428571428574,22.965053061223443,,,1.5641002972358276,150.0,0.11409991890194576,149.0,5.006225585607556,2.1741761469922367,-0.9934692790955186,12.220474622534102,-8.70701126395434,1.0,303.34000000000003,1.0515352360340862,153.86,5,139.1,0,,,0,5,22989.2728,7.619999999999976,303.34000000000003,2019-01-07
7,155.82469419390668,150.55857142857144,145.2924486632362,,148.90821428571428,,149.25401938119984,150.55857142857144,,,148.47000000000003,150.08,,130.0,130.0,150.55857142857144,,,151.23125000000002,150.37071428571429,,,,0.0,57.142857142857146,57.142857142857146,-0.26201550387596795,-72.34250438567257,26.202219482120842,49.88935333169402,,,,,,,,,,53.50992810346318,9.370761201922006,5.822857142857166,8.5,28.02951927719155,17.417142857142874,,6.110711718188355,0.06110711718188354,1.0611071171818836,106.11071171818836,63.10110974106043,,,25.826972010178135,46.42884811119989,,,,,-54.232558139534866,332375.2772125494,,1975072.0649400002,10.202857142857145,6.912504839334109,6.450000000000017,148.435,148.425,148.15,148.0125,,,,,,,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5666210177333401,0.5174612332429067,149.99499999999998,-10.639421812786374,151.12214285714293,-0.18785714285715993,2.633061382667618,149.80714285714282,6.933012244895508,,,1.5640213627033857,148.0,-0.9984958571426678,147.0,4.994505912166372,2.1690863574870227,0.05482721285027451,12.149074038789951,-0.05490980504132493,1.0,296.85,1.044421487603306,153.86,5,146.3,2,,,2,5,22019.579999999998,6.450000000000017,296.85,2019-01-08
8,155.3604370823903,150.0,144.6395629176097,,148.70616071428572,,149.21576833318326,150.0,,,147.85000000000002,150.08,,130.0,130.0,150.0,,,150.96812500000001,149.75607142857143,,,,0.0,42.85714285714286,42.85714285714286,0.10147991543340186,-54.70791786185913,27.505803976985966,49.88935333169401,,,,,,,,,,46.317062003753946,8.606449206254279,4.991020408163285,-3.9099999999999966,25.74333383774579,14.92897959183675,,-2.572199197421221,-0.025721991974212204,0.9742780080257878,97.42780080257877,63.75290198849298,28.342904150102907,46.19993734214504,20.625889046941715,28.342904150102907,,,,,-69.10216718266261,201329.15133305517,,2274515.62794,9.421020408163267,6.361256183769931,4.72999999999999,148.4975,149.135,148.79,148.6175,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1237833435519833,0.6580757684486986,149.26821428571432,-13.70837420261986,150.73178571428568,-0.24392857142855956,2.680218541195141,149.02428571428575,7.183571428566211,,,1.5640442349445318,149.0,-0.9025481183990961,148.0,4.997887721273753,2.1705550585212086,-0.4305890081902361,12.16963434126104,0.4770814978308278,1.0,298.27,1.0322272944062136,153.86,5,146.3,2,,,2,5,22235.655000000002,4.72999999999999,298.27,2019-01-09
9,165.45065635901182,146.95000000000002,128.44934364098822,,142.7671205357143,,145.18401158871646,146.95000000000002,,,136.52500000000003,139.405,,159.26,-159.26,146.95000000000002,,,148.7825,143.49357142857144,,,,100.0,28.571428571428573,-71.42857142857143,-0.8140597539543065,-233.25184085683532,-34.75178526078366,40.266161481097384,,,,,,,,,,45.55233906572735,38.44565909513957,30.0480174927114,-21.35000000000001,16.37249332192875,12.796268221574358,,-14.593301435406703,-0.14593301435406703,0.854066985645933,85.4066985645933,32.62410736960817,19.101503136256078,31.291085132519623,10.851648351648358,19.101503136256078,,,,,-89.6759017250392,-428354.4504352749,-339606.8862045994,1402763.87756,12.139446064139943,9.715443028523364,28.44999999999999,135.8775,135.225,131.79999999999998,130.0875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.180484233275624,0.7081596926229022,136.58071428571435,-73.86399904046365,157.31928571428566,-3.4564285714285483,9.250328179505901,133.1242857142858,85.56857142856097,,,1.5627932963794486,125.0,0.7559408837335736,124.0,4.827913657280962,2.096736260462469,-0.6546398859679295,11.178103595869919,-0.8659934924205701,1.0,270.45,1.2351239669421488,153.86,5,124.95,9,,,9,5,18083.449999999997,28.44999999999999,270.45,2019-01-10
