token,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,DEMA,EMA,HT_TRENDLINE,macd,macdsignal,macdhist,mfi,willr,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,ad,adosc,obv,atr,natr,trange,EMA-trend,MACD-position,MACD-indicator,Quotes_label
BTCUSDT,0.3623220807983863,0.3619921261708335,0.367133273372702,0.6497956536641873,0.4766026777592851,0.684000726669298,0.4910816755353048,0.4944317365819151,0.5063169686001511,0.3999462445354842,0.4394228854605548,0.2588194298757862,0.1423434432168515,0.468219850427675,0.3571428571428571,0.1428571428571428,0.3928571428571428,0.9518313784899116,0.481493934824566,0.3661032106970939,0.2140974539021594,0.1782437692934896,0.1516099455261318,Up trend,sell,low,High position
ETHUSDT,0.4895940492795793,0.5110838212194766,0.5027088820749878,0.6533452088919369,0.8261049142167541,0.7047473304377243,0.1423343162295022,0.165321087726622,0.6080190693118618,0.3313340109173309,0.3575759945668578,0.4145108790660771,0.3549219132097495,0.2909739382885939,0.3571428571428571,0.0,0.3214285714285714,0.9689388376291936,0.2579051915455316,0.8067314397989302,0.326164179246586,0.1842633698328503,0.1062571982078543,Up trend,sell,low,Middle
BNBUSDT,0.2294139555555798,0.1922041604967491,0.2239521164581237,0.4315577488040518,0.3186039398452125,0.4919809442794823,0.3651451068156932,0.3172966804707437,0.766871563662839,0.3483330853990405,0.6342788707757098,0.7403281760477988,0.7196390810943482,0.544913833526746,0.7142857142857143,0.0,0.1428571428571428,0.9963459308698156,0.3940408306402189,0.3589307250538946,0.1715642936978435,0.0913555006452176,0.0527386956906469,Up trend,sell,low,Middle
NEOUSDT,0.0941654897635521,0.1073517264898215,0.1240703771913878,0.3871186483004707,0.1825925325726382,0.2932070497293094,0.2982483279110816,0.2658773835794007,0.7214181762904349,0.2533888685590245,0.230326070888081,0.2698139116670766,0.0006937623088082,0.4493370655778981,0.9285714285714286,0.0,0.0357142857142856,0.94265945873904,0.1392902200672949,0.7543598120614033,0.0970008732499242,0.1135048355852301,0.023239289446186,Up trend,sell,low,Middle
LTCUSDT,0.1078727810287933,0.1267312348668279,0.1467525855729252,0.4650390931481969,0.1978597329379052,0.3550396790405083,0.3448509191460026,0.366747871510074,0.6605353064505817,0.1603306071970223,0.2620259454238571,0.0027433446756007,0.0730484545245559,0.4974267022777059,0.9285714285714286,0.0,0.0357142857142856,0.6747955847856029,0.3111302744704561,0.039643230413048,0.1404909348814874,0.1341666719539864,0.0416358874487946,Up trend,sell,low,Middle
QTUMUSDT,0.1800099709955988,0.1939455782312926,0.2122720455249637,0.5820286170001391,0.3718372433062796,0.6171982407783688,0.2195101160584551,0.2491520049000133,0.5208362672332103,0.3164455189691076,0.4101654561012776,0.3154226143935934,0.0221543163231658,0.3827885948639018,0.9285714285714286,0.0,0.0357142857142856,0.9759229147914928,0.2755939636780226,0.8915212431419832,0.1750393797931013,0.0912046672245133,0.1003593009962435,Up trend,sell,low,Middle
ADAUSDT,0.5335095116385985,0.5494980525412047,0.5486183089223502,0.6190671156182112,0.8452072742222979,0.7718332324033356,0.000788142007786,0.0198373141236843,0.3924730718147819,0.2298487930774326,0.3686945257789564,0.3211393480361749,0.3255348183623725,0.0546082512141396,0.3571428571428571,0.0,0.3214285714285714,0.9298035653480188,0.0801369071792942,0.7390542746232486,0.4908424133876892,0.2097525541082031,0.050715742271911,Up trend,sell,low,Middle
XRPUSDT,0.2543508506855122,0.320783204504381,0.454285974519727,0.5881085973022172,0.4917486542615383,0.6456211627743255,0.2828081272310246,0.2246405941172934,0.5603512187061721,0.2402850501987514,0.3882425548047629,0.2039668880487787,0.0,0.3706063878045194,0.3571428571428571,0.0,0.3214285714285714,0.9418691650687678,0.1545235317291698,0.4342879754618448,0.1705048920528958,0.0913981081684382,0.0276521514407545,Up trend,sell,low,Middle
EOSUSDT,0.0299939441489359,0.0448342931625167,0.0971048325443457,0.2215456550286417,0.1225771877982184,0.1971888494179544,0.186779574875999,0.2350767200658605,0.5236899473507061,0.3819321829312526,0.1538624918827626,0.5816390888661946,0.3111868188117613,0.3857422905603669,0.9285714285714286,0.0714285714285714,0.0714285714285713,0.8947013576046133,0.3219075101924717,0.5105791938254052,0.0686809071872018,0.1034940418182992,0.018086523940659,Up trend,sell,low,Middle
TUSDUSDT,0.4377767672147306,0.7767857142856638,0.8876579004288054,0.8319928657195643,0.8581477947836845,0.8459247416668485,0.6516528743977361,0.7025110710591859,0.5183208951875106,0.7209904378351253,0.4739583333333723,0.1527369034325157,0.0415402576767337,0.5451241671709599,0.7142857142857143,0.7142857142857143,0.5,0.0683162431740037,0.6173448031510452,0.8905347504309462,0.0005091732501814,0.0005075950959642,4.965489845572718e-05,Down trend,buy,low,High position
IOTAUSDT,0.2742687308260625,0.2851780106601855,0.2925482549495403,0.691867480487276,0.4185184934150365,0.7208359613721137,0.4147787272850526,0.5473820346059313,0.3436964769762545,0.3757875434132726,0.173639289509507,0.3674850806191935,0.3774170430243144,0.3905171946882857,0.9285714285714286,0.0714285714285714,0.0714285714285713,0.8254856619006289,0.0495140086428314,0.8082437484793088,0.3231905975512835,0.2220458884434982,0.1020739749593806,Up trend,sell,low,High position
XLMUSDT,0.0767368254380489,0.1033886213661493,0.1514320696248095,0.2860081508173908,0.1369446631014185,0.2182406800690111,0.3482303633794428,0.3528023702456372,0.6501040038540445,0.2034020681935545,0.3034372558810887,0.3413457701412979,0.0967479659573317,0.4450234020989157,0.8571428571428572,0.0,0.0714285714285713,0.9549644081319753,0.4542592345082326,0.8777120583994625,0.0462373181977772,0.1053056840211604,0.0113839962512748,Up trend,sell,low,Middle
ONTUSDT,0.0630975545370121,0.0730522716067515,0.1233186757885542,0.3490046202178811,0.1477407258848235,0.2357679490859591,0.4029370064287826,0.4602656583414552,0.5380598856620328,0.0995918927978627,0.2053656910384433,0.6265609851670568,0.5111840557396578,0.4952859448479675,0.9285714285714286,0.0,0.0357142857142856,0.966390822560798,0.3090054232253534,0.7942582845482604,0.0735491325650065,0.1091766765313956,0.0184132141890063,Up trend,sell,low,Low position
TRXUSDT,0.2792757675326304,0.3272438921566657,0.3895752400403245,0.7637584459985358,0.4723952426549814,0.8282194812962616,0.5484781644738216,0.6527204018136896,0.5095104844833652,0.1933916831662409,0.1780047050709843,0.3781976619000164,0.4421241125245918,0.5664459531547059,0.9285714285714286,0.0,0.0357142857142856,0.8316846078134398,0.1878748244828097,0.5054748467512015,0.2449453968156073,0.1743437254681659,0.0443616029822927,Up trend,sell,low,High position
