,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-01-02 00:00:00+00:00,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,2018-01-02 23:59:59.999000+00:00,279717107.43371920,177728,11346.32673900,158080088.68331682,0
1,2018-01-03 00:00:00+00:00,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,2018-01-03 23:59:59.999000+00:00,236116868.33619011,162787,8994.95356600,133587333.24534808,0
2,2018-01-04 00:00:00+00:00,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,2018-01-04 23:59:59.999000+00:00,312781583.79830782,170310,12680.81295100,186116793.01158931,0
3,2018-01-05 00:00:00+00:00,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,2018-01-05 23:59:59.999000+00:00,369321956.48683753,192969,13346.62229300,211829900.67898224,0
4,2018-01-06 00:00:00+00:00,16960.39000000,17143.13000000,16011.21000000,17069.79000000,18571.45750800,2018-01-06 23:59:59.999000+00:00,309216920.98641042,158242,11007.16405600,183417769.06237719,0
5,2018-01-07 00:00:00+00:00,17069.79000000,17099.96000000,15610.00000000,16150.03000000,12493.12555800,2018-01-07 23:59:59.999000+00:00,206194706.37068353,120269,6779.32050800,112151163.12743520,0
6,2018-01-08 00:00:00+00:00,16218.85000000,16322.30000000,12812.00000000,14902.54000000,26600.60991200,2018-01-08 23:59:59.999000+00:00,396569997.15746266,208642,13756.84438900,206049582.13668824,0
7,2018-01-09 00:00:00+00:00,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14315.00425300,2018-01-09 23:59:59.999000+00:00,210630187.45766862,156656,6841.23328700,100698572.90002140,0
8,2018-01-10 00:00:00+00:00,14401.00000000,14955.66000000,13131.31000000,14907.09000000,17411.00165500,2018-01-10 23:59:59.999000+00:00,244011366.76302799,161476,8529.55467500,119570139.80645349,0
9,2018-01-11 00:00:00+00:00,14940.00000000,14968.68000000,11400.00000000,13238.78000000,33554.72375100,2018-01-11 23:59:59.999000+00:00,446587594.69373790,239416,16422.01998000,218762237.37910992,0
10,2018-01-12 00:00:00+00:00,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,2018-01-12 23:59:59.999000+00:00,222516076.27145907,134452,8117.31207500,110040020.18147800,0
11,2018-01-13 00:00:00+00:00,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,2018-01-13 23:59:59.999000+00:00,173086488.54788404,123639,5574.17840800,78958098.94638569,0
12,2018-01-14 00:00:00+00:00,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,2018-01-14 23:59:59.999000+00:00,226525305.12938110,152364,8288.38291100,110381556.67259862,0
13,2018-01-15 00:00:00+00:00,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,2018-01-15 23:59:59.999000+00:00,200614554.53834300,145362,7431.06327200,101748315.63707082,0
14,2018-01-16 00:00:00+00:00,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,2018-01-16 23:59:59.999000+00:00,722150828.14940244,418243,30353.40171700,346777069.93374636,0
15,2018-01-17 00:00:00+00:00,10899.99000000,11680.99000000,9037.94000000,10988.79000000,72331.79664600,2018-01-17 23:59:59.999000+00:00,744154180.13120590,517293,35412.79813700,365047291.43037911,0
16,2018-01-18 00:00:00+00:00,10972.59000000,11878.82000000,10435.33000000,10961.97000000,48464.43493700,2018-01-18 23:59:59.999000+00:00,541289614.05840462,393112,23814.38284500,266091805.66522687,0
17,2018-01-19 00:00:00+00:00,10960.00000000,11795.00000000,10360.00000000,11474.98000000,34129.37542100,2018-01-19 23:59:59.999000+00:00,382773499.22657920,273271,16871.41635500,189259676.89222242,0
18,2018-01-20 00:00:00+00:00,11474.98000000,13099.00000000,11412.45000000,12799.94000000,28768.85782700,2018-01-20 23:59:59.999000+00:00,358561107.78097045,251647,14389.19600500,179183657.90470727,0
19,2018-01-21 00:00:00+00:00,12799.80000000,12799.80000000,10965.00000000,11530.00000000,41379.77342600,2018-01-21 23:59:59.999000+00:00,485289230.81889239,360207,20574.76006100,241154449.98183498,0
20,2018-01-22 00:00:00+00:00,11530.00000000,11926.35000000,9900.24000000,10760.05000000,43752.60679100,2018-01-22 23:59:59.999000+00:00,475716514.20869704,363264,21300.57582800,231677479.12562198,0
21,2018-01-23 00:00:00+00:00,10760.05000000,11399.00000000,9905.00000000,10799.18000000,37473.92255200,2018-01-23 23:59:59.999000+00:00,399419413.23298073,355286,18747.79382800,199899519.27329972,0
22,2018-01-24 00:00:00+00:00,10799.14000000,11570.48000000,10500.00000000,11349.99000000,27158.58776200,2018-01-24 23:59:59.999000+00:00,299470607.43020020,293429,13087.39308800,144335221.62540217,0
23,2018-01-25 00:00:00+00:00,11349.96000000,11794.05000000,10950.21000000,11175.27000000,20839.95418300,2018-01-25 23:59:59.999000+00:00,236081364.97365229,221040,10201.38691900,115584688.24733494,0
24,2018-01-26 00:00:00+00:00,11184.70000000,11643.00000000,10311.15000000,11089.00000000,33056.87196000,2018-01-26 23:59:59.999000+00:00,360482470.17375426,314720,15330.78955300,167328952.39330244,0
25,2018-01-27 00:00:00+00:00,11089.00000000,11650.00000000,10842.69000000,11491.00000000,18860.76834500,2018-01-27 23:59:59.999000+00:00,212663199.53348226,207478,9208.93796300,103935891.79616303,0
26,2018-01-28 00:00:00+00:00,11499.98000000,12244.00000000,11408.00000000,11879.95000000,16887.33952400,2018-01-28 23:59:59.999000+00:00,200211582.94345406,206247,7342.78699700,87011013.83204750,0
27,2018-01-29 00:00:00+00:00,11879.95000000,11975.02000000,11139.55000000,11251.00000000,14170.37753800,2018-01-29 23:59:59.999000+00:00,162110154.87880376,169199,6016.49687100,68819972.52308751,0
28,2018-01-30 00:00:00+00:00,11250.11000000,11308.42000000,9900.00000000,10237.51000000,25554.37294600,2018-01-30 23:59:59.999000+00:00,268978329.50861528,259212,11388.09641900,119864289.07103088,0
29,2018-01-31 00:00:00+00:00,10230.00000000,10425.85000000,9700.00000000,10285.10000000,18015.95680500,2018-01-31 23:59:59.999000+00:00,181644207.11316262,201422,8782.58444200,88609272.64228793,0
30,2018-02-01 00:00:00+00:00,10285.10000000,10335.00000000,8750.99000000,9224.52000000,33564.76431100,2018-02-01 23:59:59.999000+00:00,317636345.98437110,316020,15430.00384900,146130725.87047478,0
31,2018-02-02 00:00:00+00:00,9224.52000000,9250.00000000,8010.02000000,8873.03000000,49971.62697500,2018-02-02 23:59:59.999000+00:00,434236483.70448739,453411,23113.50358400,201292749.51509915,0
32,2018-02-03 00:00:00+00:00,8873.03000000,9473.01000000,8229.00000000,9199.96000000,28725.00073500,2018-02-03 23:59:59.999000+00:00,256834729.05991090,327519,14182.83814600,127068644.49604894,0
33,2018-02-04 00:00:00+00:00,9199.96000000,9368.00000000,7930.00000000,8184.81000000,32014.30844900,2018-02-04 23:59:59.999000+00:00,274912288.42132198,356134,13805.29579000,118884553.20936234,0
34,2018-02-05 00:00:00+00:00,8179.99000000,8382.80000000,6625.00000000,6939.99000000,63403.18257900,2018-02-05 23:59:59.999000+00:00,471166218.71344725,533510,29857.35839000,222022401.01692357,0
35,2018-02-06 00:00:00+00:00,6939.63000000,7878.00000000,6000.01000000,7652.14000000,100201.50030700,2018-02-06 23:59:59.999000+00:00,684364276.36666888,785996,49565.02079400,339117633.40885492,0
36,2018-02-07 00:00:00+00:00,7655.02000000,8476.00000000,7150.01000000,7599.00000000,60778.46049700,2018-02-07 23:59:59.999000+00:00,477935038.81177692,514893,30084.83626600,237137973.45313893,0
37,2018-02-08 00:00:00+00:00,7599.00000000,7844.00000000,7572.09000000,7784.02000000,1521.53731800,2018-02-08 23:59:59.999000+00:00,11770168.04386595,12417,844.25881300,6532638.63751892,0
38,2018-02-09 00:00:00+00:00,7789.90000000,8738.00000000,7789.90000000,8683.92000000,20482.91082500,2018-02-09 23:59:59.999000+00:00,173348469.81187892,273091,10404.04079200,88117562.12096504,0
39,2018-02-10 00:00:00+00:00,8683.93000000,9065.78000000,8120.00000000,8533.98000000,49381.51265300,2018-02-10 23:59:59.999000+00:00,423411421.93098003,537578,24506.72329400,210253734.38065453,0
