,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2021-09-01 04:00:00+00:00,47043.65000000,47054.78000000,46991.96000000,47009.38000000,16.04384000,2021-09-01 04:00:59.999000+00:00,754341.09833020,667,8.45966000,397743.66640310,0
1,2021-09-01 04:01:00+00:00,47009.38000000,47025.24000000,46980.02000000,46995.37000000,22.86129000,2021-09-01 04:01:59.999000+00:00,1074492.76913610,533,12.05659000,566711.30732960,0
2,2021-09-01 04:02:00+00:00,46995.37000000,47020.26000000,46969.56000000,46995.11000000,19.67009000,2021-09-01 04:02:59.999000+00:00,924338.18065390,456,9.16799000,430803.69030850,0
3,2021-09-01 04:03:00+00:00,46995.11000000,47020.00000000,46984.68000000,47010.03000000,12.12577000,2021-09-01 04:03:59.999000+00:00,569978.26374720,371,6.85744000,322347.16252190,0
4,2021-09-01 04:04:00+00:00,47010.02000000,47017.25000000,46985.33000000,46985.35000000,10.84569000,2021-09-01 04:04:59.999000+00:00,509797.02832680,426,6.61054000,310725.14683290,0
5,2021-09-01 04:05:00+00:00,46985.34000000,46999.34000000,46983.81000000,46999.34000000,10.55997000,2021-09-01 04:05:59.999000+00:00,496172.57278650,404,4.33712000,203786.82805670,0
6,2021-09-01 04:06:00+00:00,46999.35000000,47073.66000000,46999.35000000,47073.66000000,14.77805000,2021-09-01 04:06:59.999000+00:00,695124.00330930,581,8.22845000,387061.53934950,0
7,2021-09-01 04:07:00+00:00,47073.67000000,47093.66000000,47071.55000000,47081.49000000,10.89052000,2021-09-01 04:07:59.999000+00:00,512773.25121330,592,5.53256000,260501.02058080,0
8,2021-09-01 04:08:00+00:00,47081.49000000,47146.46000000,47066.02000000,47135.31000000,59.71666000,2021-09-01 04:08:59.999000+00:00,2813081.21094530,1289,42.46486000,2000263.39113740,0
9,2021-09-01 04:09:00+00:00,47135.30000000,47150.00000000,47104.62000000,47104.63000000,15.19387000,2021-09-01 04:09:59.999000+00:00,715995.33996410,608,9.11327000,429464.63706030,0
10,2021-09-01 04:10:00+00:00,47104.62000000,47126.27000000,47102.68000000,47124.72000000,14.97916000,2021-09-01 04:10:59.999000+00:00,705712.60606530,407,9.43701000,444604.25770720,0
11,2021-09-01 04:11:00+00:00,47124.71000000,47158.77000000,47123.63000000,47157.16000000,27.37376000,2021-09-01 04:11:59.999000+00:00,1290444.99216710,527,17.92092000,844786.28988280,0
