,ind_upperband,ind_middleband,ind_lowerband,ind_dema,ind_ema,ind_ht_trendline,ind_kama,ind_ma,ind_mama,ind_mama,ind_mavp,ind_midpoin,ind_midprice,ind_sar,ind_sarext,ind_sma,ind_t3,ind_tema,ind_trima,ind_wma,ind_adx,ind_adxr,ind_apo,ind_aroondown,ind_aroonup,ind_aroonosc,ind_bop,ind_cci,ind_cmo,ind_dx,ind_macd,ind_macdsignal,ind_macdhist,ind_macdext,ind_macdsignalext,ind_macdhistext,ind_macdfix,ind_macdsignalfix,ind_macdhistfix,ind_mfi,ind_minus_di,ind_minus_dm,ind_mom,ind_plus_di,ind_plus_dm,ind_ppo,ind_roc,ind_rocp,ind_rocr,ind_rocr100,ind_rsi,ind_slowk,ind_slowd,ind_fastk,ind_fastd,ind_fastkrsi,ind_fastdrsi,ind_trix,ind_ultosc,ind_willr,ind_ad,ind_adosc,ind_obv,ind_atr,ind_natr,ind_trange,ind_average,ind_medprice,ind_typprice,ind_wclprice,ind_ht_dcperiod,ind_ht_dcphase,ind_inphase,ind_quadrature,ind_sine,ind_leadsine,ind_integer,ind_CDL2CROWS,ind_CDL3BLACKCROWS,ind_CDL3INSIDE,ind_CDL3LINESTRIKE,ind_CDL3OUTSIDE,ind_CDL3STARSINSOUTH,ind_CDL3WHITESOLDIERS,ind_CDLABANDONEDBABY,ind_CDLADVANCEBLOCK,ind_CDLBELTHOLD,ind_CDLBREAKAWAY,ind_CDLCLOSINGMARUBOZU,ind_CDLCONCEALBABYSWALL,ind_CDLCOUNTERATTACK,ind_CDLDARKCLOUDCOVER,ind_CDLDOJI,ind_CDLDOJISTAR,ind_CDLDRAGONFLYDOJI,ind_CDLENGULFING,ind_CDLEVENINGDOJISTAR,ind_CDLEVENINGSTAR,ind_CDLGAPSIDESIDEWHITE,ind_CDLGRAVESTONEDOJI,ind_CDLHAMMER,ind_CDLHANGINGMAN,ind_CDLHARAMI,ind_CDLHARAMICROSS,ind_CDLHARAMICROSS,ind_CDLHIKKAKE,ind_CDLHIKKAKEMOD,ind_CDLHOMINGPIGEON,ind_CDLIDENTICAL3CROWS,ind_CDLINNECK,ind_CDLINVERTEDHAMMER,ind_CDLKICKING,ind_CDLKICKINGBYLENGTH,ind_CDLLADDERBOTTOM,ind_CDLLONGLEGGEDDOJI,ind_CDLLONGLINE,ind_CDLMARUBOZU,ind_CDLMATCHINGLOW,ind_CDLMATHOLD,ind_CDLMORNINGDOJISTAR,ind_CDLMORNINGSTAR,ind_CDLONNECK,ind_CDLPIERCING,ind_CDLRICKSHAWMAN,ind_CDLRISEFALL3METHODS,ind_CDLSEPARATINGLINES,ind_CDLSHOOTINGSTAR,ind_CDLSHORTLINE,ind_CDLSPINNINGTOP,ind_CDLSTALLEDPATTERN,ind_CDLSTICKSANDWICH,ind_CDLTAKURI,ind_CDLTASUKIGAP,ind_CDLTHRUSTING,ind_CDLTRISTAR,ind_CDLUNIQUE3RIVER,ind_CDLUPSIDEGAP2CROWS,ind_CDLXSIDEGAP3METHODS,ind_beta,ind_correl,ind_linearreg,ind_linearreg_angle,ind_linearreg_intercept,ind_linearreg_slope,ind_stddev,ind_tsf,ind_var,ind_ACOS,ind_ASIN,ind_ATAN,ind_CEIL,ind_COS,ind_FLOOR,ind_LN,ind_LOG10,ind_SIN,ind_SQRT,ind_TAN,ind_TANH,ind_ADD,ind_DIV,ind_MAX,ind_MAXINDEX,ind_MIN,ind_MININDEX,ind_min,ind_max,ind_minidx,ind_maxidx,ind_MULT,ind_SUB,ind_SUM,date
0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9490609475342289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2780.84674060341,,3096.291,,,,10201.07,10206.325,10268.093333333332,10298.9775,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5707000955013544,10392.0,0.7258699011333403,10391.0,9.248755953405578,4.0166836750338915,-0.6878320191941305,101.93934471046985,-0.9475968326006917,1.0,20412.65,1.0412649999999999,,0,,0,,,0,0,104126500.0,412.64999999999964,20412.65,2019-09-08
1,,,,,,,,,,,,,,10000.0,10000.0,,,,,,,,,,,,-0.02415143603133351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060.030820037015,,-11728.081999999999,,,398.3200000000015,10294.095000000001,10276.380000000001,10286.586666666668,10291.69,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5706993053534624,10307.0,-0.8443227009012264,10307.0,9.240578555036793,4.0131322760460035,0.5358350275437939,101.52339631828714,-0.6346329750128071,1.0,20552.760000000002,1.0395267742492476,,0,,0,,,0,0,105564321.1988,398.3200000000015,20552.760000000002,2019-09-09
2,,,,,,,,,,,,,,10475.54,-10475.54,,,,,,,,,,,,-0.46365075774711656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2602.5306865830516,,-20797.036999999997,,,442.09999999999854,10183.215,10161.92,10141.953333333333,10131.970000000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5706973366922505,10103.0,0.22683075866941044,10102.0,9.220490682832017,4.004408223994291,-0.9739341902415479,100.5088055843865,-4.293660154181238,1.0,20323.84,1.0444729686637084,,0,,0,,,0,0,103215754.9839,442.09999999999854,20323.84,2019-09-10
3,,,,,,,,,,,,,,10475.54,-10475.54,,,,,,,,,,,,0.15968688845400847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379.48173589807,,-9899.114999999996,,,408.8000000000011,10107.81,10088.71,10112.323333333332,10124.13,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5706978972387873,10160.0,0.9356705733124644,10159.0,9.226169428813,4.006874472037962,-0.3528747344839585,100.794593108956,-0.3771356549503423,1.0,20177.42,1.0413584762112884,,0,,0,,,0,0,101740290.1041,408.8000000000011,20177.42,2019-09-11
4,,,,,,,,,,,,,,10475.54,-10475.54,,,,,,,,,,,,0.6178034852086975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19311.057894178495,,5710.519000000004,,,408.0099999999984,10267.609999999999,10246.125,10302.46,10330.627499999999,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.5707003126311823,10416.0,-0.7314479662578013,10415.0,9.251014835614292,4.017664695112406,-0.6818972596053796,102.05454423983285,0.9322566895551975,1.0,20492.25,1.040629867000195,,0,,0,,,0,0,104941459.4756,408.0099999999984,20492.25,2019-09-12
5,,,,,,,,,,,,,,10475.54,-10475.54,,,,,,,,,,,,-0.2564799331103652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25255.094039036427,,-13542.201999999997,,,287.03999999999905,10337.59,10297.029999999999,10311.8,10319.185,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1.570699627527985,10342.0,0.7087894869295654,10341.0,9.243904733476313,4.014576816988113,-0.7054200615364744,101.69237926216498,-0.9952462254939937,1.0,20594.059999999998,1.028270026818312,,0,,0,,,0,0,106008228.83049999,287.03999999999905,20594.059999999998,2019-09-13
6,10510.482007060464,10292.702857142856,10074.923707225249,,10292.702857142856,,,10292.702857142856,,,10336.795,10258.575,,10475.54,-10475.54,10292.702857142856,,,10263.138125,10299.97607142857,,,,,,,-0.05456389452332798,71.60626886521054,,,,,,,,,,,,,,192.90999999999985,,,219.90999999999985,,,,,,,,,79.1665193877913,82.08346512504647,,,,,-24.23591495695424,27534.445652829567,,-34198.826,,,197.1999999999989,10329.5,10321.369999999999,10324.996666666666,10326.81,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6781844447196462,10314.522500000001,82.17144122288805,10270.883214285714,7.273214285714523,108.88957495880337,10321.795714285716,11856.939534708858,,,1.570699542454905,10333.0,-0.9012122621661097,10332.0,9.243025350593534,4.014194905854642,0.4333779626624352,101.64767582192916,-0.4808833399811817,1.0,20642.739999999998,1.019290270640932,10415.13,4,10102.02,2,,,2,4,106520956.71689999,197.1999999999989,20642.739999999998,2019-09-14
7,10482.993047211508,10279.929999999998,10076.866952788489,,10295.082142857142,,10331.66352788678,10279.929999999998,,,10317.235,10258.575,,10475.54,-10475.54,10279.929999999998,,,10290.059374999999,10302.355357142855,,,,42.85714285714286,14.285714285714286,-28.571428571428573,-0.09345375160740418,-14.392086090502957,-12.49388650559649,31.680922892115365,,,,,,,,,,63.75463006381237,16.7429581521507,363.31142857142936,-89.40999999999985,8.68662995282941,188.49428571428558,,-0.8604039982177958,-0.008604039982177951,0.991395960017822,99.13959600178221,43.753056747201754,,,73.85917783040544,76.77575166253091,,,,,-29.315156538064905,41071.95182720665,,-54735.081000000006,353.6942857142855,3.433185135963759,334.39000000000124,10254.925000000001,10192.005000000001,10228.743333333334,10247.1125,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2032418292444949,0.6831208191986273,10347.206071428573,87.44673642339465,10212.653928571426,22.425357142857713,101.5315236057547,10369.63142857143,10308.650285705924,,,1.5706992603376806,10303.0,-0.5916528126890608,10302.0,9.240114684974198,4.012930819837498,-0.8061928734720514,101.49985221664117,1.362611410242278,1.0,20384.010000000002,1.0333562431607184,10415.13,4,10102.02,2,,,2,4,103849011.752,334.39000000000124,20384.010000000002,2019-09-15
8,10474.36726367899,10271.682857142858,10068.998450606725,,10283.629107142857,,10330.56738843514,10271.682857142858,,,10275.745,10258.575,,10475.54,-10475.54,10271.682857142858,,,10305.145625,10294.690357142856,,,,28.571428571428573,0.0,-28.571428571428573,-0.19307238841492366,-7.860686511128045,-19.447392285874063,31.68092289211537,,,,,,,,,,48.06643376727702,14.599239626524005,311.40979591836805,-57.72999999999956,7.574419709817357,161.56653061224478,,-0.5601047831570782,-0.005601047831570735,0.9943989521684292,99.43989521684293,40.27630385706297,68.60002628675159,75.819747691443,52.774381642058,68.60002628675159,,,,,-35.49892191863117,45804.42715623166,,-74920.71800000001,342.1822448979588,3.3386011384026255,273.10999999999876,10246.445,10217.255000000001,10227.926666666668,10233.2625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.232362426426892,0.6776442621579469,10340.705357142855,87.51125760353038,10202.660357142857,23.007499999999858,101.342203268066,10363.712857142857,10270.242163226008,,,1.5706987588708565,10250.0,0.17512461398344017,10249.0,9.234961762518129,4.010692934049152,0.9845462759957762,101.2386783793625,5.6219754242477595,1.0,20434.510000000002,1.0270923646175363,10415.13,4,10102.02,2,,,2,4,104373652.46700001,273.10999999999876,20434.510000000002,2019-09-16
9,10451.663932457157,10283.754285714285,10115.844638971414,,10259.351830357144,,10326.951225250781,10283.754285714285,,,10217.895,10287.34,,10475.54,-10475.54,10283.754285714285,,,10308.409375,10273.39964285714,,,,14.285714285714286,28.571428571428573,14.285714285714286,-0.5287613924996226,-51.34328973211966,-27.421266249706576,31.68092289211537,,,,,,,,,,43.08701208159614,13.60328538257585,266.92268221574403,84.5,7.057695849642368,138.4855976676384,,0.8364663700923147,0.008364663700923182,1.0083646637009231,100.83646637009231,36.289366875146705,55.17682206433673,66.85086667120642,38.89690672054674,55.17682206433673,,,,,-46.5890212435048,40023.95728831011,13201.526476083749,-97440.32500000001,312.4219241982502,3.067013309729429,133.85999999999876,10212.805,10203.7,10197.973333333333,10195.11,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9242392676146721,0.41491543893962396,10252.690357142867,-84.48376511354239,10314.81821428571,-10.35464285714053,83.95482337143591,10242.335714285726,7048.412367329001,,,1.5706981578425177,10187.0,0.09404010246480796,10186.0,9.228820556602937,4.008025842207953,0.9955684100695483,100.92829137560985,10.586636806803924,1.0,20407.4,1.013205389882576,10415.13,4,10159.55,3,,,3,4,104111014.0651,133.85999999999876,20407.4,2019-09-17
