,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
0,2019-09-08 00:00:00+00:00,10000,10412.65,10000,10391.63,3096.291,2019-09-08 23:59:59.999000+00:00,32096280.44997,3754,0.039,393.35627,0
1,2019-09-09 00:00:00+00:00,10316.62,10475.54,10077.22,10307,14824.373,2019-09-09 23:59:59.999000+00:00,152447209.57153,11296,5452.451,56197395.22191,0
2,2019-09-10 00:00:00+00:00,10307,10382.97,9940.87,10102.02,9068.955,2019-09-10 23:59:59.999000+00:00,92717645.17470,10089,6395.462,65526356.95107,0
3,2019-09-11 00:00:00+00:00,10094.27,10293.11,9884.31,10159.55,10897.922,2019-09-11 23:59:59.999000+00:00,109786235.83974,13811,7724.442,77841159.69945,0
4,2019-09-12 00:00:00+00:00,10163.06,10450.13,10042.12,10415.13,15609.634,2019-09-12 23:59:59.999000+00:00,159494237.43414,20060,10117.798,103160660.48429,0
5,2019-09-13 00:00:00+00:00,10414.96,10440.55,10153.51,10341.34,19252.721,2019-09-13 23:59:59.999000+00:00,198205401.80487,29249,9717.128,100083062.05222,0
6,2019-09-14 00:00:00+00:00,10343.01,10419.97,10222.77,10332.25,20656.624,2019-09-14 23:59:59.999000+00:00,213270510.33553,30436,9522.547,98347059.96283,0
7,2019-09-15 00:00:00+00:00,10333.47,10359.20,10024.81,10302.22,20536.255,2019-09-15 23:59:59.999000+00:00,211512546.03807,25912,7430.161,76527442.09982,0
8,2019-09-16 00:00:00+00:00,10302,10353.81,10080.70,10249.27,20185.637,2019-09-16 23:59:59.999000+00:00,206767492.67183,31837,6954.582,71177496.13928,0
9,2019-09-17 00:00:00+00:00,10257.30,10270.63,10136.77,10186.52,22519.607,2019-09-17 23:59:59.999000+00:00,229911548.18276,31535,12669.109,129336069.82540,0
10,2019-09-18 00:00:00+00:00,10183.87,10256.65,10097.92,10155.16,20832.895,2019-09-18 23:59:59.999000+00:00,212309755.01688,30799,13464.203,137250597.56858,0
11,2019-09-19 00:00:00+00:00,10154.70,10331.62,9530.02,10245.30,26228.754,2019-09-19 23:59:59.999000+00:00,262112110.02615,41871,10213.792,102471541.32640,0
12,2019-09-20 00:00:00+00:00,10247.70,10279.30,10070.50,10166.35,23265.910,2019-09-20 23:59:59.999000+00:00,236683803.67808,31054,9517.128,96905407.08332,0
13,2019-09-21 00:00:00+00:00,10166.56,10175.30,9912.63,9983.33,23642.387,2019-09-21 23:59:59.999000+00:00,237320660.25696,32670,8219.618,82449521.73411,0
14,2019-09-22 00:00:00+00:00,9992.70,10089.52,9857,10023.04,23916.354,2019-09-22 23:59:59.999000+00:00,238688620.33846,33401,10466.395,104504245.65882,0
15,2019-09-23 00:00:00+00:00,10027.69,10046.91,9620,9701.96,31927.062,2019-09-23 23:59:59.999000+00:00,314749491.62710,42190,14924.551,147226975.18317,0
16,2019-09-24 00:00:00+00:00,8683.20,9792.83,8645.61,8645.61,29758.535,2019-09-24 23:59:59.999000+00:00,286175252.41143996,46730,14817.318,142461498.10542,0
